seed holistic gca gap_pp
1 0.528000 0.592000 6.4000
2 0.540000 0.545000 0.5000
3 0.520000 0.558000 3.8000
4 0.536000 0.570000 3.4000
5 0.547000 0.577000 3.0000
6 0.538000 0.561000 2.3000
7 0.505000 0.570000 6.5000
8 0.534000 0.543000 0.9000
9 0.530000 0.583000 5.3000
10 0.527000 0.555000 2.8000
11 0.509000 0.583000 7.4000
12 0.526000 0.573000 4.7000
13 0.532000 0.568000 3.6000
14 0.549000 0.569000 2.0000
15 0.522000 0.571000 4.9000
16 0.528000 0.569000 4.1000
17 0.529000 0.574000 4.5000
18 0.540000 0.574000 3.4000
19 0.522000 0.573000 5.1000
20 0.531000 0.575000 4.4000
