seed holistic gca gap_pp
1 0.584785 0.583183 -0.1602
2 0.585986 0.587988 0.2002
3 0.576176 0.590591 1.4414
4 0.585185 0.578378 -0.6807
5 0.593994 0.590991 -0.3003
6 0.586987 0.582983 -0.4004
7 0.583383 0.575776 -0.7608
8 0.578178 0.578579 0.0400
9 0.576376 0.593193 1.6817
10 0.586987 0.584384 -0.2603
11 0.589790 0.573173 -1.6617
12 0.576977 0.571972 -0.5005
13 0.589189 0.584184 -0.5005
14 0.573974 0.580981 0.7007
15 0.576577 0.584184 0.7608
16 0.593794 0.565165 -2.8629
17 0.584985 0.577778 -0.7207
18 0.586186 0.584785 -0.1401
19 0.589189 0.579379 -0.9810
20 0.585385 0.592993 0.7608
