meansent holistic
0.629039 0.698322
0.578186 0.572863
0.923303 0.923302
0.808393 0.808393
0.753881 0.724486
0.686939 0.719601
0.758073 0.814125
0.539866 0.539866
0.877598 0.940533
0.843564 0.783817
0.795079 0.795079
0.733974 0.733974
0.833642 0.914756
0.831349 0.819842
0.643181 0.643181
0.680471 0.680471
0.941415 0.941415
0.925705 0.925706
0.830105 0.830105
0.855502 0.855502
0.781214 0.781214
0.846638 0.846637
0.423693 0.467817
0.189910 0.189910
0.341512 0.264539
0.207878 0.205853
0.855534 0.922667
0.761899 0.916177
0.543184 0.543184
0.685661 0.685661
0.967806 0.949175
0.565171 0.565171
0.716674 0.831460
0.556835 0.653055
0.611909 0.611909
0.290902 0.290902
0.610610 0.603652
0.346009 0.357796
0.516870 0.516168
0.630250 0.573299
0.905982 0.905982
0.753648 0.753647
0.634654 0.634654
0.729103 0.729103
0.461598 0.461598
0.373269 0.360667
0.888889 0.888890
0.449477 0.449477
0.851096 0.851096
0.768869 0.830982
0.224087 0.226020
0.620613 0.620613
0.824473 0.877048
0.912935 0.904805
0.707580 0.756608
0.422812 0.424112
0.747206 0.748555
0.906541 0.859016
0.983310 0.983310
0.863398 0.893871
0.698438 0.698438
0.634042 0.634042
0.559813 0.555755
0.224378 0.224378
0.649142 0.649142
0.671390 0.671390
0.977474 0.977474
0.675731 0.675731
0.684415 0.684415
0.725837 0.730929
0.685043 0.685043
0.888965 0.888965
0.726731 0.726731
0.759767 0.759767
0.495891 0.495890
0.555142 0.555142
0.972059 0.972059
0.971883 0.971883
0.324837 0.318329
0.464107 0.528340
0.914556 0.903093
0.728368 0.673770
0.814525 0.921367
0.670774 0.656303
0.975141 0.975141
0.930748 0.930748
0.761128 0.761127
0.961626 0.961626
0.793832 0.946102
0.764853 0.865130
0.829771 0.829771
0.715953 0.715953
0.670016 0.648353
0.437438 0.360767
0.899321 0.899320
0.964044 0.964044
0.487345 0.622068
0.404609 0.444290
0.551252 0.544349
0.628134 0.560794
0.454340 0.454340
0.777439 0.800520
0.882707 0.943968
0.796391 0.700233
0.845555 0.845555
0.910947 0.910947
0.522184 0.522184
0.724754 0.724754
0.745343 0.745343
0.823361 0.823361
0.834827 0.834827
0.774525 0.774525
0.995274 0.995274
0.995768 0.995768
0.650452 0.679123
0.612462 0.612462
0.823500 0.848133
0.763168 0.763168
0.087488 0.156763
0.882911 0.882911
0.817841 0.817841
0.668352 0.668352
0.145081 0.145081
0.190193 0.190193
0.882587 0.882587
0.469161 0.469161
0.739395 0.739395
0.809163 0.891111
0.684552 0.684552
0.492740 0.492740
0.961126 0.961126
0.432246 0.432246
0.884531 0.884531
0.575150 0.555603
0.638542 0.562108
0.724745 0.795066
0.960452 0.960452
0.908772 0.919682
0.823710 0.791184
0.400876 0.403523
0.592766 0.592766
0.623108 0.623108
0.829635 0.829636
0.756874 0.756874
0.806308 0.806307
0.713778 0.812729
0.750458 0.750457
0.729051 0.729051
0.757919 0.757919
0.979989 0.979989
0.752421 0.754680
0.811785 0.825444
0.686292 0.686292
0.659238 0.659238
0.751739 0.772224
0.362139 0.332758
0.925872 0.938225
0.852053 0.834572
0.777560 0.777560
0.990949 0.990949
0.638925 0.638925
0.627986 0.627986
0.711984 0.711984
0.692093 0.692093
0.896369 0.975044
0.876711 0.937912
0.731122 0.795151
0.905774 0.981383
0.585043 0.405626
0.722940 0.563143
0.839878 0.977759
0.934824 0.934824
0.817199 0.817199
0.772232 0.772232
0.853694 0.861864
0.784086 0.766821
0.745309 0.745311
0.598275 0.598275
0.848050 0.848050
0.789168 0.836432
0.400297 0.353221
0.158911 0.150383
0.817561 0.817560
0.542316 0.542316
0.790958 0.790958
0.734497 0.734497
0.726262 0.661891
0.559659 0.542762
0.427267 0.427267
0.554303 0.554303
0.814655 0.797696
0.570752 0.542030
0.778255 0.778255
0.655955 0.655955
0.924069 0.929164
0.866729 0.866729
0.987848 0.987848
0.963444 0.963444
0.603106 0.603106
0.697263 0.697263
0.495635 0.497422
0.344031 0.344030
0.922271 0.951089
0.993571 0.993571
0.523037 0.516233
0.441156 0.465759
0.147192 0.147191
0.360624 0.360624
0.468561 0.652970
0.603346 0.603346
0.976461 0.976461
0.684244 0.684244
0.561218 0.474663
0.226312 0.301997
0.929684 0.960941
0.970615 0.970615
0.859195 0.859195
0.476975 0.476976
0.880693 0.926650
0.579834 0.637129
0.794249 0.794249
0.073306 0.073306
0.263588 0.253276
0.504637 0.504637
0.694447 0.580162
0.751532 0.751532
0.967067 0.967067
0.862234 0.862235
0.937762 0.834524
0.666712 0.528877
0.742791 0.742791
0.867269 0.867269
0.893325 0.893326
0.499557 0.473403
0.626470 0.626470
0.829661 0.829661
0.980988 0.980988
0.707055 0.707055
0.937330 0.934095
0.822850 0.860178
0.718909 0.649915
0.726491 0.697502
0.711153 0.711153
0.241007 0.241007
0.518047 0.482408
0.120728 0.148840
0.553375 0.433048
0.632584 0.583890
0.154886 0.154886
0.155003 0.155003
0.992420 0.992420
0.988903 0.988903
0.781141 0.781141
0.732177 0.732177
0.544562 0.544562
0.484176 0.484176
0.754795 0.754795
0.584448 0.584448
0.606320 0.625738
0.680452 0.680452
0.448166 0.448166
0.546415 0.546415
0.690573 0.690573
0.633126 0.633126
0.773588 0.739575
0.731614 0.695597
0.760498 0.760498
0.490175 0.490175
0.634937 0.634937
0.414216 0.414216
0.819993 0.961260
0.706258 0.735927
0.887742 0.904838
0.818993 0.811872
0.775561 0.775561
0.498765 0.498765
0.869535 0.869535
0.965875 0.965875
0.425735 0.425735
0.098563 0.113265
0.951236 0.962596
0.784248 0.808261
0.921329 0.934124
0.664905 0.664905
0.923263 0.914046
0.808518 0.769804
0.751851 0.751850
0.600935 0.652838
0.705267 0.571437
0.690934 0.641524
0.983452 0.983452
0.706719 0.706719
0.792628 0.792628
0.932209 0.932209
0.449015 0.479765
0.347212 0.335325
0.955293 0.955293
0.791521 0.791521
0.774508 0.774508
0.578057 0.532199
0.828113 0.828113
0.988579 0.988579
0.761548 0.761548
0.568501 0.568501
0.883959 0.883959
0.990612 0.990612
0.827796 0.827796
0.728093 0.728093
0.822260 0.898854
0.807696 0.749669
0.714858 0.691246
0.373869 0.363739
0.868793 0.868793
0.963237 0.963237
0.831462 0.831462
0.816848 0.816848
0.704777 0.704777
0.387552 0.387552
0.869939 0.869939
0.861070 0.861070
0.839948 0.799562
0.812404 0.812405
0.707657 0.707658
0.462913 0.448263
0.993475 0.993475
0.628269 0.628269
0.991238 0.991238
0.782485 0.782485
0.697287 0.697288
0.693979 0.693979
0.742028 0.707841
0.919246 0.919246
0.696999 0.696999
0.687659 0.687659
0.384439 0.377439
0.207744 0.213196
0.784481 0.748322
0.695966 0.661685
0.780198 0.778579
0.681605 0.715941
0.720695 0.720695
0.691668 0.691668
0.768299 0.720945
0.206772 0.278681
0.714557 0.638029
0.503696 0.503695
0.648696 0.863417
0.892850 0.955940
0.850725 0.891226
0.290765 0.290765
0.702320 0.664646
0.567516 0.564719
0.187287 0.187287
0.322571 0.322571
0.617371 0.511760
0.410975 0.356989
0.314484 0.314484
0.434146 0.434146
0.305892 0.331754
0.185377 0.154776
0.746711 0.746711
0.350300 0.320466
0.584419 0.584419
0.995580 0.995580
0.943507 0.943507
0.631744 0.631744
0.423163 0.464198
0.234223 0.234223
0.739237 0.739237
0.375947 0.375946
0.956777 0.956777
0.879206 0.879206
0.715057 0.803684
0.757950 0.730004
0.983208 0.983208
0.982165 0.982165
0.976714 0.983983
0.974850 0.974850
0.699526 0.702215
0.620152 0.618650
0.557732 0.562190
0.555558 0.574074
0.656919 0.656919
0.557204 0.557204
0.705970 0.716699
0.748297 0.737039
0.672200 0.672200
0.829965 0.808198
0.902223 0.902223
0.663281 0.663281
0.957863 0.957863
0.860060 0.860060
0.995954 0.995954
0.891071 0.891071
0.443182 0.443182
0.120707 0.190950
0.418131 0.366095
0.404447 0.350691
0.842044 0.842044
0.761423 0.729416
